2024-06-12 16:31:49,133:INFO:stating data validation/transformation process
2024-06-13 23:11:49,923:INFO:starting data extration from source
2024-06-13 23:11:49,926:INFO:starting data extration from source
2024-06-13 23:11:50,211:INFO:starting data extration from source
2024-06-13 23:11:50,899:INFO:starting data extration from source
2024-06-13 23:11:51,037:INFO:starting data extration from source
2024-06-13 23:11:51,049:INFO:starting data extration from source
2024-06-13 23:11:52,976:ERROR:error loading data to local drive
2024-06-13 23:11:53,318:ERROR:error loading data to local drive
2024-06-13 23:11:53,466:ERROR:error loading data to local drive
2024-06-13 23:11:57,381:ERROR:error loading data to local drive
2024-06-13 23:11:57,703:ERROR:error loading data to local drive
2024-06-13 23:11:57,997:ERROR:error loading data to local drive
2024-06-13 23:13:53,203:INFO:starting data extration from source
2024-06-13 23:13:53,447:INFO:starting data extration from source
2024-06-13 23:13:53,487:INFO:starting data extration from source
2024-06-13 23:13:53,726:INFO:starting data extration from source
2024-06-13 23:13:53,731:INFO:starting data extration from source
2024-06-13 23:13:58,826:ERROR:error loading data to local drive
2024-06-13 23:13:59,124:ERROR:error loading data to local drive
2024-06-13 23:14:00,036:ERROR:error loading data to local drive
2024-06-13 23:14:02,512:ERROR:error loading data to local drive
2024-06-13 23:14:02,590:INFO:starting data extration from source
2024-06-13 23:14:03,007:INFO:starting data extration from source
2024-06-13 23:14:03,077:INFO:starting data extration from source
2024-06-13 23:14:03,864:ERROR:error loading data to local drive
2024-06-13 23:14:03,942:INFO:starting data extration from source
2024-06-13 23:14:04,964:ERROR:error loading data to local drive
2024-06-13 23:14:06,406:ERROR:error loading data to local drive
2024-06-13 23:14:06,919:ERROR:error loading data to local drive
2024-06-13 23:14:07,557:INFO:starting data extration from source
2024-06-13 23:14:07,559:INFO:starting data extration from source
2024-06-13 23:14:07,879:INFO:starting data extration from source
2024-06-13 23:14:08,020:INFO:starting data extration from source
2024-06-13 23:14:08,046:INFO:starting data extration from source
2024-06-13 23:14:08,602:INFO:starting data extration from source
2024-06-13 23:14:09,184:ERROR:error loading data to local drive
2024-06-13 23:14:09,608:ERROR:error loading data to local drive
2024-06-13 23:14:09,715:ERROR:error loading data to local drive
2024-06-13 23:14:10,881:ERROR:error loading data to local drive
2024-06-13 23:14:12,706:ERROR:error loading data to local drive
2024-06-13 23:14:15,335:ERROR:error loading data to local drive
2024-06-13 23:14:17,607:ERROR:error loading data to local drive
2024-06-13 23:16:03,096:INFO:starting data extration from source
2024-06-13 23:16:03,163:INFO:starting data extration from source
2024-06-13 23:16:03,826:INFO:starting data extration from source
2024-06-13 23:16:04,928:ERROR:error loading data to local drive
2024-06-13 23:16:07,796:ERROR:error loading data to local drive
2024-06-13 23:16:08,025:INFO:starting data extration from source
2024-06-13 23:16:08,053:INFO:starting data extration from source
2024-06-13 23:16:09,777:INFO:starting data extration from source
